caso;tiempo;ECconbiofinal;ECconsusfinal;;
ec1.1;0;0.0000;100.0000;;
ec1.1;1;0.4645;98.9122;;
ec1.1;2;0.9261;97.5228;;
ec1.1;3;1.3841;95.8385;;
ec1.1;4;1.8374;93.9071;;
ec1.1;5;2.2861;91.7198;;
ec1.1;6;2.7289;89.3382;;
ec1.1;7;3.1651;86.8213;;
ec1.1;8;3.5945;84.1691;;
ec1.1;9;4.0170;81.3969;;
ec1.1;10;4.4315;78.6018;;
ec1.1;11;4.8377;75.7915;;
ec1.1;12;5.2358;72.9632;;
ec1.1;13;5.6251;70.1757;;
ec1.1;14;6.0056;67.4543;;
ec1.1;15;6.3772;64.7982;;
ec1.1;16;6.7400;62.2154;;
ec1.1;17;7.0939;59.7370;;
ec1.1;18;7.4390;57.3632;;
ec1.1;19;7.7753;55.0917;;
ec1.1;20;8.1031;52.9266;;
ec1.1;21;8.4227;50.8709;;
ec1.1;22;8.7340;48.9246;;
ec1.1;23;9.0372;47.0837;;
ec1.1;24;9.3329;45.3396;;
ec1.1;25;9.6213;43.6919;;
ec1.1;26;9.9022;42.1410;;
ec1.1;27;10.1761;40.6780;;
ec1.1;28;10.4436;39.2926;;
ec1.1;29;10.7046;37.9848;;
ec1.1;30;10.9592;36.7553;;
ec1.1;31;11.2078;35.5936;;
ec1.1;32;11.4509;34.4909;;
ec1.1;33;11.6885;33.4471;;
ec1.1;34;11.9206;32.4627;;
ec1.1;35;12.1475;31.5321;;
ec1.1;36;12.3697;30.6446;;
ec1.1;37;12.5873;29.8000;;
ec1.1;38;12.8003;28.9983;;
ec1.1;39;13.0086;28.2400;;
ec1.1;40;13.2128;27.5149;;
ec1.1;41;13.4131;26.8202;;
ec1.1;42;13.6096;26.1559;;
ec1.1;43;13.8021;25.5219;;
ec1.1;44;13.9907;24.9186;;
ec1.1;45;14.1759;24.3385;;
ec1.1;46;14.3578;23.7793;;
ec1.1;47;14.5364;23.2410;;
ec1.1;48;14.7117;22.7237;;
ec1.1;49;14.8838;22.2275;;
ec1.1;50;15.0526;21.7513;;
ec1.1;51;15.2187;21.2893;;
ec1.1;52;15.3820;20.8416;;
ec1.1;53;15.5425;20.4081;;
ec1.1;54;15.7002;19.9889;;
ec1.1;55;15.8551;19.5840;;
ec1.1;56;16.0073;19.1937;;
ec1.1;57;16.1570;18.8137;;
ec1.1;58;16.3044;18.4434;;
ec1.1;59;16.4494;18.0828;;
ec1.1;60;16.5921;17.7319;;
ec1.1;61;16.7323;17.3908;;
ec1.1;62;16.8702;17.0593;;
ec1.1;63;17.0057;16.7380;;
ec1.1;64;17.1391;16.4243;;
ec1.1;65;17.2704;16.1174;;
ec1.1;66;17.3997;15.8172;;
ec1.1;67;17.5270;15.5236;;
ec1.1;68;17.6523;15.2368;;
ec1.1;69;17.7755;14.9566;;
ec1.1;70;17.8967;14.6832;;
ec1.1;71;18.0158;14.4167;;
ec1.1;72;18.1330;14.1565;;
ec1.1;73;18.2485;13.9010;;
ec1.1;74;18.3622;13.6504;;
ec1.1;75;18.4742;13.4045;;
ec1.1;76;18.5845;13.1634;;
ec1.1;77;18.6930;12.9270;;
ec1.1;78;18.7997;12.6955;;
ec1.1;79;18.9048;12.4687;;
ec1.1;80;19.0081;12.2468;;
ec1.1;81;19.1095;12.0300;;
ec1.1;82;19.2095;11.8171;;
ec1.1;83;19.3079;11.6078;;
ec1.1;84;19.4049;11.4021;;
ec1.1;85;19.5004;11.2000;;
ec1.1;86;19.5944;11.0014;;
ec1.1;87;19.6869;10.8064;;
ec1.1;88;19.7779;10.6149;;
ec1.1;89;19.8675;10.4271;;
ec1.1;90;19.9556;10.2427;;
ec1.1;91;20.0422;10.0620;;
ec1.1;92;20.1272;9.8851;;
ec1.1;93;20.2109;9.7113;;
ec1.1;94;20.2934;9.5403;;
ec1.1;95;20.3746;9.3720;;
ec1.1;96;20.4546;9.2065;;
ec1.1;97;20.5333;9.0437;;
ec1.1;98;20.6107;8.8837;;
ec1.1;99;20.6870;8.7264;;
ec1.1;100;20.7620;8.5719;;
ec1.1;101;20.8357;8.4202;;
ec1.1;102;20.9082;8.2712;;
ec1.1;103;20.9794;8.1250;;
ec1.1;104;21.0494;7.9817;;
ec1.1;105;21.1181;7.8411;;
ec1.1;106;21.1858;7.7026;;
ec1.1;107;21.2525;7.5664;;
ec1.1;108;21.3181;7.4323;;
ec1.1;109;21.3827;7.3004;;
ec1.1;110;21.4463;7.1707;;
ec1.1;111;21.5089;7.0431;;
ec1.1;112;21.5704;6.9178;;
ec1.1;113;21.6309;6.7946;;
ec1.1;114;21.6903;6.6736;;
ec1.1;115;21.7487;6.5547;;
ec1.1;116;21.8061;6.4381;;
ec1.1;117;21.8625;6.3237;;
ec1.1;118;21.9178;6.2115;;
ec1.1;119;21.9722;6.1011;;
ec1.1;120;22.0258;5.9925;;
ec1.1;121;22.0785;5.8855;;
ec1.1;122;22.1304;5.7803;;
ec1.1;123;22.1815;5.6768;;
ec1.1;124;22.2317;5.5751;;
ec1.1;125;22.2811;5.4751;;
ec1.1;126;22.3297;5.3768;;
ec1.1;127;22.3774;5.2803;;
ec1.1;128;22.4243;5.1855;;
ec1.1;129;22.4703;5.0924;;
ec1.1;130;22.5155;5.0010;;
ec1.1;131;22.5598;4.9116;;
ec1.1;132;22.6033;4.8237;;
ec1.1;133;22.6462;4.7372;;
ec1.1;134;22.6883;4.6520;;
ec1.1;135;22.7298;4.5683;;
ec1.1;136;22.7707;4.4859;;
ec1.1;137;22.8108;4.4049;;
ec1.1;138;22.8503;4.3253;;
ec1.1;139;22.8891;4.2470;;
ec1.1;140;22.9272;4.1702;;
ec1.1;141;22.9646;4.0947;;
ec1.1;142;23.0014;4.0206;;
ec1.1;143;23.0375;3.9479;;
ec1.1;144;23.0729;3.8765;;
ec1.1;145;23.1076;3.8067;;
ec1.1;146;23.1417;3.7380;;
ec1.1;147;23.1752;3.6704;;
ec1.1;148;23.2082;3.6039;;
ec1.1;149;23.2407;3.5385;;
ec1.1;150;23.2727;3.4742;;
ec1.1;151;23.3041;3.4110;;
ec1.1;152;23.3349;3.3489;;
ec1.1;153;23.3653;3.2878;;
ec1.1;154;23.3950;3.2279;;
ec1.1;155;23.4243;3.1691;;
ec1.1;156;23.4530;3.1113;;
ec1.1;157;23.4812;3.0547;;
ec1.1;158;23.5088;2.9991;;
ec1.1;159;23.5358;2.9447;;
ec1.1;160;23.5624;2.8912;;
ec1.1;161;23.5886;2.8386;;
ec1.1;162;23.6144;2.7868;;
ec1.1;163;23.6397;2.7359;;
ec1.1;164;23.6646;2.6858;;
ec1.1;165;23.6891;2.6367;;
ec1.1;166;23.7131;2.5883;;
